22;70
38;70
54;70
70;70
86;70
102;70
118;70
134;70
150;70
166;70
182;70
198;70
246;70
262;70
278;70
294;70
310;70
326;70
342;70
358;70
374;70
390;70
406;70
422;70
22;86
102;86
198;86
246;86
342;86
422;86
22;102
102;102
198;102
246;102
342;102
422;102
22;118
102;118
198;118
246;118
342;118
422;118
22;134
38;134
54;134
70;134
86;134
102;134
118;134
134;134
150;134
166;134
182;134
198;134
214;134
230;134
246;134
262;134
278;134
294;134
310;134
326;134
342;134
358;134
374;134
390;134
406;134
422;134
22;150
102;150
150;150
294;150
342;150
422;150
22;166
102;166
150;166
294;166
342;166
422;166
22;182
38;182
54;182
70;182
86;182
102;182
150;182
166;182
182;182
198;182
246;182
262;182
278;182
294;182
342;182
358;182
374;182
390;182
406;182
422;182
102;198
342;198
102;214
342;214
102;230
342;230
102;246
342;246
102;262
342;262
102;278
342;278
102;294
342;294
102;310
342;310
102;326
342;326
102;342
342;342
102;358
342;358
22;374
38;374
54;374
70;374
86;374
102;374
118;374
134;374
150;374
166;374
182;374
198;374
246;374
262;374
278;374
294;374
310;374
326;374
342;374
358;374
374;374
390;374
406;374
422;374
22;390
102;390
198;390
246;390
342;390
422;390
22;406
102;406
198;406
246;406
342;406
422;406
22;422
38;422
54;422
102;422
118;422
134;422
150;422
166;422
182;422
198;422
214;422
230;422
246;422
262;422
278;422
294;422
310;422
326;422
342;422
390;422
406;422
422;422
54;438
102;438
150;438
294;438
342;438
390;438
54;454
102;454
150;454
294;454
342;454
390;454
22;470
38;470
54;470
70;470
86;470
102;470
150;470
166;470
182;470
198;470
246;470
262;470
278;470
294;470
342;470
358;470
374;470
390;470
406;470
422;470
22;486
198;486
246;486
422;486
22;502
198;502
246;502
422;502
22;518
38;518
54;518
70;518
86;518
102;518
118;518
134;518
150;518
166;518
182;518
198;518
214;518
230;518
246;518
262;518
278;518
294;518
310;518
326;518
342;518
358;518
374;518
390;518
406;518
422;518
