D;22;70
D;38;70
D;54;70
D;70;70
D;86;70
D;102;70
D;118;70
D;134;70
D;150;70
D;166;70
D;182;70
D;198;70
D;246;70
D;262;70
D;278;70
D;294;70
D;310;70
D;326;70
D;342;70
D;358;70
D;374;70
D;390;70
D;406;70
D;422;70
D;22;86
D;102;86
D;198;86
D;246;86
D;342;86
D;422;86
E;22;102
D;102;102
D;198;102
D;246;102
D;342;102
E;422;102
D;22;118
D;102;118
D;198;118
D;246;118
D;342;118
D;422;118
D;22;134
D;38;134
D;54;134
D;70;134
D;86;134
D;102;134
D;118;134
D;134;134
D;150;134
D;166;134
D;182;134
D;198;134
D;214;134
D;230;134
D;246;134
D;262;134
D;278;134
D;294;134
D;310;134
D;326;134
D;342;134
D;358;134
D;374;134
D;390;134
D;406;134
D;422;134
D;22;150
D;102;150
D;150;150
D;294;150
D;342;150
D;422;150
D;22;166
D;102;166
D;150;166
D;294;166
D;342;166
D;422;166
D;22;182
D;38;182
D;54;182
D;70;182
D;86;182
D;102;182
D;150;182
D;166;182
D;182;182
D;198;182
D;246;182
D;262;182
D;278;182
D;294;182
D;342;182
D;358;182
D;374;182
D;390;182
D;406;182
D;422;182
D;102;198
D;342;198
D;102;214
D;342;214
D;102;230
D;342;230
D;102;246
D;342;246
D;102;262
D;342;262
D;102;278
D;342;278
D;102;294
D;342;294
D;102;310
D;342;310
D;102;326
D;342;326
D;102;342
D;342;342
D;102;358
D;342;358
D;22;374
D;38;374
D;54;374
D;70;374
D;86;374
D;102;374
D;118;374
D;134;374
D;150;374
D;166;374
D;182;374
D;198;374
D;246;374
D;262;374
D;278;374
D;294;374
D;310;374
D;326;374
D;342;374
D;358;374
D;374;374
D;390;374
D;406;374
D;422;374
D;22;390
D;102;390
D;198;390
D;246;390
D;342;390
D;422;390
D;22;406
D;102;406
D;198;406
D;246;406
D;342;406
D;422;406
E;22;422
D;38;422
D;54;422
D;102;422
D;118;422
D;134;422
D;150;422
D;166;422
D;182;422
D;198;422
D;246;422
D;262;422
D;278;422
D;294;422
D;310;422
D;326;422
D;342;422
D;390;422
D;406;422
E;422;422
D;54;438
D;102;438
D;150;438
D;294;438
D;342;438
D;390;438
D;54;454
D;102;454
D;150;454
D;294;454
D;342;454
D;390;454
D;22;470
D;38;470
D;54;470
D;70;470
D;86;470
D;102;470
D;150;470
D;166;470
D;182;470
D;198;470
D;246;470
D;262;470
D;278;470
D;294;470
D;342;470
D;358;470
D;374;470
D;390;470
D;406;470
D;422;470
D;22;486
D;198;486
D;246;486
D;422;486
D;22;502
D;198;502
D;246;502
D;422;502
D;22;518
D;38;518
D;54;518
D;70;518
D;86;518
D;102;518
D;118;518
D;134;518
D;150;518
D;166;518
D;182;518
D;198;518
D;214;518
D;230;518
D;246;518
D;262;518
D;278;518
D;294;518
D;310;518
D;326;518
D;342;518
D;358;518
D;374;518
D;390;518
D;406;518
D;422;518
